State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date
AK,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,8,0,1,,4/1/2014,3/31/2017
AK,Death rate for heart attack patients,MORT_30_AMI,0,5,0,15,,7/1/2014,6/30/2017
AK,Death rate for CABG surgery patients,MORT_30_CABG,0,2,0,0,,7/1/2014,6/30/2017
AK,Death rate for COPD patients,MORT_30_COPD,0,11,0,12,,7/1/2014,6/30/2017
AK,Death rate for heart failure patients,MORT_30_HF,0,9,0,14,,7/1/2014,6/30/2017
AK,Death rate for pneumonia patients,MORT_30_PN,0,13,0,10,,7/1/2014,6/30/2017
AK,Death rate for stroke patients,MORT_30_STK,0,8,0,15,,7/1/2014,6/30/2017
AK,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,6,0,0,,10/1/2015,6/30/2017
AK,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,0,6,0,0,,10/1/2015,6/30/2017
AK,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,0,7,0,0,,10/1/2015,6/30/2017
AK,Blood stream infection after surgery,PSI_13_POST_SEPSIS,0,6,0,0,,10/1/2015,6/30/2017
AK,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0,7,0,0,,10/1/2015,6/30/2017
AK,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,0,7,0,1,,10/1/2015,6/30/2017
AK,Pressure sores,PSI_3_ULCER,0,8,0,0,,10/1/2015,6/30/2017
AK,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,0,4,0,2,,10/1/2015,6/30/2017
AK,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0,8,0,0,,10/1/2015,6/30/2017
AK,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,8,0,0,,10/1/2015,6/30/2017
AK,Serious complications,PSI_90_SAFETY,0,8,0,Not Available,,10/1/2015,6/30/2017
AK,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,7,0,0,,10/1/2015,6/30/2017
AL,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,43,0,5,,4/1/2014,3/31/2017
AL,Death rate for heart attack patients,MORT_30_AMI,2,38,0,47,,7/1/2014,6/30/2017
AL,Death rate for CABG surgery patients,MORT_30_CABG,1,21,0,2,,7/1/2014,6/30/2017
AL,Death rate for COPD patients,MORT_30_COPD,2,76,0,9,,7/1/2014,6/30/2017
AL,Death rate for heart failure patients,MORT_30_HF,3,72,4,10,,7/1/2014,6/30/2017
AL,Death rate for pneumonia patients,MORT_30_PN,10,71,3,5,,7/1/2014,6/30/2017
AL,Death rate for stroke patients,MORT_30_STK,1,54,0,30,,7/1/2014,6/30/2017
AL,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,48,1,5,,10/1/2015,6/30/2017
AL,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,4,45,0,5,,10/1/2015,6/30/2017
AL,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,4,57,0,8,,10/1/2015,6/30/2017
AL,Blood stream infection after surgery,PSI_13_POST_SEPSIS,1,47,0,6,,10/1/2015,6/30/2017
AL,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0,57,0,10,,10/1/2015,6/30/2017
AL,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,0,62,0,12,,10/1/2015,6/30/2017
AL,Pressure sores,PSI_3_ULCER,3,79,2,0,,10/1/2015,6/30/2017
AL,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,3,27,0,24,,10/1/2015,6/30/2017
AL,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0,84,0,0,,10/1/2015,6/30/2017
AL,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,84,0,0,,10/1/2015,6/30/2017
AL,Serious complications,PSI_90_SAFETY,3,81,0,Not Available,,10/1/2015,6/30/2017
AL,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1,59,0,9,,10/1/2015,6/30/2017
AR,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,1,28,2,13,,4/1/2014,3/31/2017
AR,Death rate for heart attack patients,MORT_30_AMI,2,26,0,41,,7/1/2014,6/30/2017
AR,Death rate for CABG surgery patients,MORT_30_CABG,2,14,0,2,,7/1/2014,6/30/2017
AR,Death rate for COPD patients,MORT_30_COPD,1,63,0,9,,7/1/2014,6/30/2017
AR,Death rate for heart failure patients,MORT_30_HF,8,53,0,15,,7/1/2014,6/30/2017
AR,Death rate for pneumonia patients,MORT_30_PN,11,62,0,3,,7/1/2014,6/30/2017
AR,Death rate for stroke patients,MORT_30_STK,2,36,0,35,,7/1/2014,6/30/2017
AR,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,33,0,7,,10/1/2015,6/30/2017
AR,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,4,27,1,8,,10/1/2015,6/30/2017
AR,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,0,41,1,1,,10/1/2015,6/30/2017
AR,Blood stream infection after surgery,PSI_13_POST_SEPSIS,1,29,0,9,,10/1/2015,6/30/2017
AR,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,0,37,0,5,,10/1/2015,6/30/2017
AR,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,0,40,0,4,,10/1/2015,6/30/2017
AR,Pressure sores,PSI_3_ULCER,1,42,1,0,,10/1/2015,6/30/2017
AR,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,1,20,0,10,,10/1/2015,6/30/2017
AR,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,0,44,0,0,,10/1/2015,6/30/2017
AR,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,44,0,0,,10/1/2015,6/30/2017
AR,Serious complications,PSI_90_SAFETY,2,40,2,Not Available,,10/1/2015,6/30/2017
AR,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2,40,0,1,,10/1/2015,6/30/2017
AS,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,4/1/2014,3/31/2017
AS,Death rate for heart attack patients,MORT_30_AMI,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
AS,Death rate for CABG surgery patients,MORT_30_CABG,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
AS,Death rate for COPD patients,MORT_30_COPD,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
AS,Death rate for heart failure patients,MORT_30_HF,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
AS,Death rate for pneumonia patients,MORT_30_PN,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
AS,Death rate for stroke patients,MORT_30_STK,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,7/1/2014,6/30/2017
AS,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,Blood stream infection after surgery,PSI_13_POST_SEPSIS,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,Pressure sores,PSI_3_ULCER,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,Broken hip from a fall after surgery,PSI_8_POST_HIP,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,Serious complications,PSI_90_SAFETY,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AS,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/2015,6/30/2017
AZ,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,49,0,5,,4/1/2014,3/31/2017
AZ,Death rate for heart attack patients,MORT_30_AMI,0,48,0,21,,7/1/2014,6/30/2017
AZ,Death rate for CABG surgery patients,MORT_30_CABG,0,25,0,2,,7/1/2014,6/30/2017
AZ,Death rate for COPD patients,MORT_30_COPD,4,50,1,20,,7/1/2014,6/30/2017
AZ,Death rate for heart failure patients,MORT_30_HF,1,53,1,20,,7/1/2014,6/30/2017
AZ,Death rate for pneumonia patients,MORT_30_PN,1,66,2,9,,7/1/2014,6/30/2017
AZ,Death rate for stroke patients,MORT_30_STK,0,42,1,22,,7/1/2014,6/30/2017
AZ,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,49,0,4,,10/1/2015,6/30/2017
AZ,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,6,40,3,4,,10/1/2015,6/30/2017
AZ,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,3,52,2,1,,10/1/2015,6/30/2017
AZ,Blood stream infection after surgery,PSI_13_POST_SEPSIS,0,49,0,4,,10/1/2015,6/30/2017
AZ,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,1,51,0,5,,10/1/2015,6/30/2017
AZ,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1,55,0,3,,10/1/2015,6/30/2017
AZ,Pressure sores,PSI_3_ULCER,1,60,0,0,,10/1/2015,6/30/2017
AZ,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,0,35,2,14,,10/1/2015,6/30/2017
AZ,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,2,59,0,0,,10/1/2015,6/30/2017
AZ,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,61,0,0,,10/1/2015,6/30/2017
AZ,Serious complications,PSI_90_SAFETY,5,52,4,Not Available,,10/1/2015,6/30/2017
AZ,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,56,0,2,,10/1/2015,6/30/2017
CA,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,3,191,7,84,,4/1/2014,3/31/2017
CA,Death rate for heart attack patients,MORT_30_AMI,1,205,5,109,,7/1/2014,6/30/2017
CA,Death rate for CABG surgery patients,MORT_30_CABG,0,97,0,32,,7/1/2014,6/30/2017
CA,Death rate for COPD patients,MORT_30_COPD,5,247,7,65,,7/1/2014,6/30/2017
CA,Death rate for heart failure patients,MORT_30_HF,7,226,36,63,,7/1/2014,6/30/2017
CA,Death rate for pneumonia patients,MORT_30_PN,19,235,43,40,,7/1/2014,6/30/2017
CA,Death rate for stroke patients,MORT_30_STK,6,208,10,93,,7/1/2014,6/30/2017
CA,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,2,259,0,20,,10/1/2015,6/30/2017
CA,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,7,248,4,22,,10/1/2015,6/30/2017
CA,Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,6,279,1,1,,10/1/2015,6/30/2017
CA,Blood stream infection after surgery,PSI_13_POST_SEPSIS,6,255,0,21,,10/1/2015,6/30/2017
CA,A wound that splits open after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,2,265,0,20,,10/1/2015,6/30/2017
CA,Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,1,281,0,5,,10/1/2015,6/30/2017
CA,Pressure sores,PSI_3_ULCER,13,271,7,1,,10/1/2015,6/30/2017
CA,Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,1,157,1,108,,10/1/2015,6/30/2017
CA,Collapsed lung due to medical treatment,PSI_6_IAT_PTX,1,292,0,0,,10/1/2015,6/30/2017
CA,Broken hip from a fall after surgery,PSI_8_POST_HIP,0,292,0,1,,10/1/2015,6/30/2017
